# Enu (GeV)
1.02505195e+2 1.20006148e-1
1.11943162e+2 1.21545948e-1
1.21618365e+2 1.23029012e-1
1.32472522e+2 1.24581294e-1
1.44295387e+2 1.26123363e-1
1.57173415e+2 1.27675645e-1
1.71200777e+2 1.29299414e-1
1.86480049e+2 1.30892545e-1
2.03122960e+2 1.32434614e-1
2.21251213e+2 1.33639675e-1
2.40997369e+2 1.34865161e-1
2.62505825e+2 1.36070222e-1
2.85933860e+2 1.37285495e-1
3.11452793e+2 1.38521193e-1
3.39249231e+2 1.39767103e-1
3.69526437e+2 1.41053863e-1
4.02505813e+2 1.42279349e-1
4.38428522e+2 1.43453772e-1
4.77557249e+2 1.44617984e-1
5.20178125e+2 1.46057929e-1
5.66602814e+2 1.47885945e-1
6.17170799e+2 1.49560776e-1
6.72251859e+2 1.50959872e-1
7.32248777e+2 1.52277269e-1
7.97600279e+2 1.53461905e-1
8.68784251e+2 1.54799727e-1
9.46321228e+2 1.55841389e-1
1.03077820e+3 1.56913689e-1
1.12277276e+3 1.58690643e-1
1.22297762e+3 1.60314412e-1
1.33212553e+3 1.61417349e-1
1.45101464e+3 1.62867507e-1
1.58051433e+3 1.64981469e-1
1.72157156e+3 1.66298866e-1
1.87521782e+3 1.67412016e-1
2.05851253e+3 1.68923448e-1
2.24222999e+3 1.70526792e-1
2.44234381e+3 1.71772702e-1
2.66031732e+3 1.73345409e-1
2.89774446e+3 1.74897690e-1
3.15636142e+3 1.76501034e-1
3.43805935e+3 1.78380112e-1
3.74489816e+3 1.80248978e-1
4.07912162e+3 1.82087206e-1
4.44317375e+3 1.83751824e-1
4.83971669e+3 1.85406229e-1
5.27165016e+3 1.87162759e-1
5.74213270e+3 1.88960138e-1
6.25460470e+3 1.90900490e-1
6.81281364e+3 1.92983815e-1
