# Enu/GeV sigma/pb
5.60105054e+1 2.89688385e-1
6.61283630e+1 3.41715080e-1
7.80739320e+1 4.01945803e-1
9.21773741e+1 4.73686119e-1
1.08828492e+2 5.57704200e-1
1.28487504e+2 6.56624634e-1
1.51697761e+2 7.71632696e-1
1.79100770e+2 9.08497796e-1
2.11453916e+2 1.06762154e+0
2.49651403e+2 1.25461587e+0
2.94748967e+2 1.47436234e+0
3.47993051e+2 1.73096296e+0
4.10855260e+2 2.03222281e+0
4.85073034e+2 2.38366361e+0
5.72697664e+2 2.79324292e+0
6.76150995e+2 3.27319928e+0
7.98292358e+2 3.82839183e+0
9.42497597e+2 4.48198314e+0
1.11275238e+3 5.23232059e+0
1.31376235e+3 6.11981481e+0
1.55108319e+3 7.11070876e+0
1.83127418e+3 8.26204399e+0
2.16207946e+3 9.60886336e+0
2.55264212e+3 1.11331208e+1
3.01375686e+3 1.28870027e+1
3.55816835e+3 1.48609750e+1
4.20092349e+3 1.71049923e+1
4.95978729e+3 1.96692844e+1
5.85573388e+3 2.25115148e+1
6.91352618e+3 2.57158612e+1
8.16240034e+3 2.92932607e+1
9.63687380e+3 3.32739724e+1
1.13776993e+4 3.76532071e+1
1.34329912e+4 4.25284435e+1
1.58595555e+4 4.77185986e+1
1.87244596e+4 5.32398047e+1
2.21068860e+4 5.92878116e+1
2.61003212e+4 6.58361881e+1
3.08151390e+4 7.27636403e+1
3.63816517e+4 8.01169756e+1
4.29537111e+4 8.81302032e+1
5.07129614e+4 1.00579905e+2
5.98738592e+4 1.08263901e+2
7.06896012e+4 1.16095801e+2
8.34591220e+4 1.27828190e+2
9.85353564e+4 1.38114318e+2
1.16334994e+5 1.46575912e+2
1.84487593e+5 1.87510352e+2
3.72910515e+5 2.55690757e+2
5.93450778e+5 3.05677652e+2
8.79512763e+5 3.67543155e+2
1.03838983e+6 3.85303984e+2
1.22596679e+6 4.06984516e+2
1.44742806e+6 4.46846443e+2
1.70889456e+6 4.76465790e+2
2.01759292e+6 4.92933393e+2
2.38205523e+6 5.26103949e+2
2.81235478e+6 5.60976903e+2
3.32038456e+6 5.97597120e+2
3.92018594e+6 6.36607882e+2
4.62833671e+6 6.78165242e+2
5.46440936e+6 7.21753900e+2
6.45151195e+6 7.68144193e+2
7.61692687e+6 8.16744955e+2
8.99286484e+6 8.68420706e+2
1.06173552e+7 9.23366000e+2
1.25352969e+7 9.80861492e+2
1.47996998e+7 1.04292096e+3
1.74731492e+7 1.10681566e+3
2.06295363e+7 1.17573407e+3
2.43560999e+7 1.24776559e+3
2.87558379e+7 1.32671217e+3
3.39503539e+7 1.40401228e+3
4.00832185e+7 1.49143631e+3
4.73239369e+7 1.58131617e+3
5.58726341e+7 1.67345064e+3
6.59655862e+7 1.77429940e+3
7.78817508e+7 1.87767792e+3
9.19504769e+7 1.98707972e+3
1.08560608e+8 2.10484145e+3
1.28171228e+8 2.23590421e+3
1.51324353e+8 2.37288721e+3
1.78659908e+8 2.51588679e+3
2.10933416e+8 2.67002297e+3
2.49036880e+8 2.83092913e+3
2.94023434e+8 2.99587156e+3
3.47136457e+8 3.17941408e+3
4.09843929e+8 3.35831539e+3
4.83879013e+8 3.56406309e+3
5.71287953e+8 3.76460807e+3
6.74486631e+8 3.98019234e+3
7.96327339e+8 4.20812226e+3
9.40177614e+8 4.44910483e+3
1.11001331e+9 4.69944991e+3
1.31052849e+9 4.96856888e+3
1.54726516e+9 5.24814350e+3
1.82676645e+9 5.54344941e+3
2.15675745e+9 5.85537177e+3
2.54635873e+9 6.17901086e+3
3.00633841e+9 6.51438675e+3
3.54940982e+9 6.87445102e+3
4.19058280e+9 7.24757306e+3
4.94757864e+9 7.64816212e+3
5.84131983e+9 8.05567177e+3
6.89650835e+9 8.49290649e+3
8.14230837e+9 8.93698679e+3
9.61315237e+9 9.43095341e+3
1.13496928e+10 9.91472037e+3
1.33999256e+10 1.04429968e+4
1.58205168e+10 1.09890442e+4
1.86783688e+10 1.15636435e+4
2.20524693e+10 1.21682877e+4
2.60360745e+10 1.27924680e+4
3.07392867e+10 1.34486660e+4
3.62920973e+10 1.41652383e+4
4.28479794e+10 1.48637691e+4
5.05881300e+10 1.56409715e+4
5.97264781e+10 1.64122751e+4
7.05155968e+10 1.72378761e+4
8.32536851e+10 1.81221043e+4
9.82928089e+10 1.90337164e+4
1.16048632e+11 1.99723265e+4
1.37011905e+11 2.09770119e+4
1.61762029e+11 2.19906864e+4
1.90983068e+11 2.30969031e+4
2.25482658e+11 2.42130174e+4
2.66214328e+11 2.54310259e+4
3.14303854e+11 2.66599323e+4
3.71080374e+11 2.79482232e+4
4.38113127e+11 2.92435139e+4
5.17254820e+11 3.07726098e+4
6.10692837e+11 3.21987999e+4
7.19922066e+11 3.37038102e+4
8.59864840e+11 3.54750554e+4
1.01455430e+12 3.71396278e+4
1.21506233e+12 3.90460455e+4
1.45323699e+12 4.10655458e+4
1.73061765e+12 4.30615716e+4
2.03810571e+12 4.50431336e+4
2.46386199e+12 4.75746559e+4
2.96211630e+12 5.00055888e+4
3.59353236e+12 5.27794681e+4
4.15394890e+12 5.48653771e+4
