# Enu/GeV sigma/pb
6.04018900e+1 2.68229484e-2
8.29336693e+1 4.08935841e-2
1.13870502e+2 6.13364119e-2
1.56347732e+2 9.10934885e-2
2.14670288e+2 1.33361256e-1
2.94748967e+2 1.93703130e-1
4.04699478e+2 2.80237282e-1
5.55664942e+2 4.00449176e-1
7.62945209e+2 5.67158044e-1
1.04754745e+3 8.00889352e-1
1.43831515e+3 1.12258769e+0
1.97485134e+3 1.56504103e+0
2.71153217e+3 2.17199959e+0
3.72301781e+3 3.01448600e+0
5.11181898e+3 4.32252728e+0
7.01868609e+3 5.84112996e+0
9.63687380e+3 7.36741345e+0
1.32317268e+4 9.50181697e+0
1.81675715e+4 1.25571265e+1
2.49446394e+4 1.65359606e+1
3.42497639e+4 2.15479536e+1
4.70259887e+4 2.78739810e+1
6.45681418e+4 3.55258213e+1
8.86540623e+4 4.51157018e+1
1.21724779e+5 5.67484127e+1
1.67131898e+5 7.09933870e+1
2.29477283e+5 8.76364691e+1
3.15079430e+5 1.07541307e+2
4.32613835e+5 1.30733305e+2
5.93992221e+5 1.57908650e+2
8.15569751e+5 1.89323679e+2
1.11980258e+6 2.25645883e+2
1.53752369e+6 2.67345796e+2
2.11106773e+6 3.15034038e+2
2.89856151e+6 3.68850482e+2
3.97981490e+6 4.29942949e+2
5.46440936e+6 5.00164036e+2
7.50280361e+6 5.78126457e+2
1.03015822e+7 6.65932561e+2
1.41443920e+7 7.64424641e+2
1.94206892e+7 8.75317375e+2
2.66652089e+7 9.99822404e+2
3.66121592e+7 1.13809156e+3
5.02696308e+7 1.29228404e+3
6.90217630e+7 1.46374426e+3
9.47690224e+7 1.65631528e+3
1.30120809e+8 1.86866970e+3
1.78659908e+8 2.10512527e+3
2.45305598e+8 2.36564618e+3
3.36812198e+8 2.65315603e+3
4.62453600e+8 2.97266773e+3
6.34963143e+8 3.32243422e+3
8.71824099e+8 3.70968463e+3
1.19704154e+9 4.13797791e+3
1.64357518e+9 4.60887799e+3
2.25667973e+9 5.13336630e+3
3.09849130e+9 5.70342510e+3
4.25432470e+9 6.33052616e+3
5.84131983e+9 7.01963370e+3
8.02031340e+9 7.77990657e+3
1.10121392e+10 8.60548730e+3
1.51200088e+10 9.51397145e+3
2.07602413e+10 1.05027756e+4
2.85044555e+10 1.15943479e+4
3.91375020e+10 1.27803997e+4
5.37370047e+10 1.40808163e+4
7.37825750e+10 1.54905592e+4
1.01305765e+11 1.70414427e+4
1.39095959e+11 1.87013116e+4
1.90983068e+11 2.05533164e+4
2.62225679e+11 2.25441001e+4
3.60043995e+11 2.47154879e+4
4.94351577e+11 2.70826253e+4
6.78760056e+11 2.96618083e+4
9.31958620e+11 3.24866169e+4
1.27960811e+12 3.54925982e+4
1.75694164e+12 3.88534819e+4
2.41233539e+12 4.24485882e+4
3.31221135e+12 4.63076160e+4
4.34640079e+12 4.98673354e+4
